applicants,apply_type,base_salary,company_address_type,company_country,company_employees_on_linkedin,company_followers_on_linkedin,company_founded,company_headquarters,company_id,company_industry,company_locality,company_name,company_organization_type,company_postal_code,company_region,company_size,company_slogan,company_specialties,company_street,employment_type,industries,job_function,location,posted_datetime,seniority_level,title,skills
Be among the first 25 applicants,External Apply,,,,10,4755,2011,,93795393,Staffing and Recruiting,,LauLau Remote Offshore Staffing,Privately Held,,,51-200 employees,"We are one of the leading remote staffing & virtual assistant companies providing talented, low-cost offshore staff.","remote staffing, offshore recruitment, offshore staffing, virtual assistants, international recruitment, and legal recruitment",,Full-time,Staffing and Recruiting,Administrative,United States,,Entry level,Business Assistant,['excel']
Over 200 applicants,External Apply,"$75,000.00/yr - $85,000.00/yr",PostalAddress,US,4350,41757,,"New York, NY",65309548,Real Estate,New York,SitusAMC,Privately Held,10017,NY,"5,001-10,000 employees",We're helping our clients identify and capture opportunities across the entire lifecycle of their real estate activity.,"Commercial Real Estate Finance, Residential Real Estate Finance, Technology, Data, Analytics, Loan Origination, Underwriting, Due Diligence, Primary Servicing, Asset Management, Special Servicing, Valuations, Brokerage, Title Production, Compliance, Warehouse Lending, Product, Pricing & Eligibility, Consulting & Advisory, Staffing, and Talent Management",12 East 49th Street,Full-time,Real Estate,Information Technology,United States,,Entry level,"Analyst, Data Analytics and Reporting","['sql', 'excel', 'power bi', 'tableau', 'aws', 'database']"
Over 200 applicants,External Apply,,PostalAddress,US,36335,412490,2013,"Reston, VA",1614,IT Services and IT Consulting,Reston,SAIC,Public Company,20190,VA,"10,001+ employees",Advancing the power of technology and innovation to serve and protect our world.,"IT Solutions, Systems Engineering, IT Modernization, Space, Data Analytics, Digital Transformation, AI, Digital Engineering, App Modernization, Health IT, JADC2, Secure Cloud, Enterprise IT, Systems Integration & Delivery, and Cybersecurity",12010 Sunset Hills Road,Full-time,"Computer Hardware Manufacturing, Defense and Space Manufacturing, and IT Services and IT Consulting",Information Technology,"Washington, DC",18/01/2025 8:44,Internship,Data Intern,['data analytics']
30 applicants,Easy Apply,,,,10,39,,"VISAKHAPATNAM, Andhra Pradesh",27367895,,,SKML INFO TECHNOLOGY SERVICES PRIVATE LIMITED,,,,,,,,Full-time,,Information Technology,"St Louis, MO",18/01/2025 22:58,Entry level,Data Analyst,"['data analytics', 'statistics']"
Be among the first 25 applicants,External Apply,,PostalAddress,PE,38,482,2011,"Surco, Lima",10486743,IT Services and IT Consulting,Surco,Summit Consulting,Privately Held,lima33,Lima,51-200 employees,Soluciones de TI que llevan al éxito a empresa.,"Soporte Tecnico, Desarrollo de Software, Infraestructura de TI, Redes y comunicaciones, Software Factory, Gestión de Proyectos, Outsourcing de TI, Automatización de Procesos, and Inteligencia de Negocios",calle urano 135 - San roque,Full-time,IT Services and IT Consulting,Information Technology,"Washington, DC",18/01/2025 4:50,Mid-Senior level,Data Science Consultant (Hybrid),"['python', 'sql', 'powerbi', 'tableau', 'aws', 'azure', 'data visualization', 'statistics']"
Be among the first 25 applicants,External Apply,"$60,400.00/yr - $78,555.00/yr",PostalAddress,US,4006,24133,1935,"West Sacramento, CA",165647,Retail,West Sacramento,Raley's,Privately Held,95605,CA,"10,001+ employees","Infusing life with health and happiness by changing the way the world eats, one plate at a time.","Great people who care, Best Fresh Products, Fair and consistent pricing, Products you want and more, Easy shopping experience, E-Commerce, Grocery Delivery, Personalized Shopping, and Servant Leadership",500 W Capitol Ave.,Full-time,Retail,Information Technology,"West Sacramento, CA",18/01/2025 7:18,Entry level,Master Data Specialist - Financial,[]
Be among the first 25 applicants,External Apply,,PostalAddress,PE,38,482,2011,"Surco, Lima",10486743,IT Services and IT Consulting,Surco,Summit Consulting,Privately Held,lima33,Lima,51-200 employees,Soluciones de TI que llevan al éxito a empresa.,"Soporte Tecnico, Desarrollo de Software, Infraestructura de TI, Redes y comunicaciones, Software Factory, Gestión de Proyectos, Outsourcing de TI, Automatización de Procesos, and Inteligencia de Negocios",calle urano 135 - San roque,Full-time,IT Services and IT Consulting,Information Technology,"Washington, DC",18/01/2025 4:50,Mid-Senior level,Data Engineer (Hybrid),"['python', 'sql', 'aws', 'azure', 'statistics', 'snowflake', 'brick', 'database']"
177 applicants,Easy Apply,,PostalAddress,US,4,166,2024,"Seattle, WA",103734062,Business Consulting and Services,Seattle,Widenet AI,Partnership,,WA,2-10 employees,Empowering Businesses with Cutting-Edge AI Solutions | Driving Innovation and Change with Intelligence,AI,,Full-time,Business Consulting and Services and Financial Services,Engineering and Consulting,New York City Metropolitan Area,18/01/2025 18:08,Mid-Senior level,Artificial Intelligence Engineer,"['python', 'excel', 'machine learning', 'aws', 'nlp']"
Be among the first 25 applicants,External Apply,,,,,,,,84004164,,,Interon IT Solutions,,,,,,,,Full-time,Information Technology & Services,"Research, Analyst, and Information Technology","Maryland, United States",18/01/2025 19:16,Entry level,Business Analyst (Junior),"['sql', 'excel', 'power bi', 'tableau', 'database']"
Be among the first 25 applicants,External Apply,,,,2,716,2008,,1762307,Advertising Services,,Slalom Marketing Consulting,Public Company,,,1 employee,,"Marketing strategy development, Brand development, Communications, Events, and Lead generation campaigns",,Full-time,Advertising Services,Engineering and Information Technology,"Hartford, CT",18/01/2025 4:41,Mid-Senior level,Data Scientist,"['python', 'sql', 'power bi', 'tableau', 'machine learning', 'aws', 'azure', 'gcp', 'data visualization', 'brick', 'database']"
51 applicants,External Apply,"$80,000.00/yr - $200,000.00/yr",,,5,1161,2024,,104152817,Information Services,,Silurian AI,Privately Held,,,2-10 employees,Simulate the Earth,,,Full-time,Information Services,Engineering and Information Technology,"Seattle, WA",18/01/2025 20:13,Mid-Senior level,Machine Learning Research Engineer / Scientist,"['python', 'excel', 'machine learning', 'deep learning']"
118 applicants,External Apply,,PostalAddress,US,133125,927869,1979,"Atlanta, Georgia",1534,Retail,Atlanta,The Home Depot,Public Company,30339,Georgia,"10,001+ employees",careers.homedepot.com,"retail, home improvement, and customer service",2455 Paces Ferry Road,Full-time,Consumer Services,Other,"Atlanta, GA",18/01/2025 8:59,Not Applicable,"Associate Data Scientist, Delivery","['python', 'sql', 'excel', 'tableau', 'data visualization', 'data analytics', 'statistics', 'nlp']"
57 applicants,Easy Apply,,PostalAddress,US,907,933189,1999,"Tampa, FL",1379045,IT Services and IT Consulting,Tampa,System Soft Technologies,Privately Held,33607,FL,"1,001-5,000 employees",Deep Expertise to Help Clients Solve Their Most Difficult IT Challenges,"IT Services, IT Solutions, Big Data, Data Analytics, Cloud, Mobile Development, Application Development, Digital Transformation, Cyber Security, and Superior User Experience",3000 Bayport Drive,Full-time,IT Services and IT Consulting,Engineering,"Chicago, IL",18/01/2025 20:54,Mid-Senior level,SQL Developer,"['sql', 'excel', 'azure', 'mysql', 'sql server', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,256,5227,,"Annapolis Junction, Maryland",33520473,Defense and Space Manufacturing,Annapolis Junction,EverWatch,Privately Held,20701,Maryland,201-500 employees,,"Intelligence, Defense, and Deployed Mission Support",302 Sentinel Dr,Internship,IT Services and IT Consulting,Information Technology,"Annapolis Junction, MD",18/01/2025 20:32,Not Applicable,Computer Science Intern,"['python', 'excel', 'machine learning', 'statistics']"
Be among the first 25 applicants,External Apply,$27.40/hr - $35.34/hr,PostalAddress,US,39109,262785,1993,"Newport Beach, California",163025,Restaurants,Newport Beach,Chipotle Mexican Grill,Public Company,92660,California,"10,001+ employees",Real Food. Real People. Real Opportunities.,"Burritos, bowls, and tacos and salads.",610 Newport Center Dr,Full-time,Restaurants,Information Technology,"Newport Beach, CA",18/01/2025 21:47,Not Applicable,IT Personalization - Internship,"['aws', 'data analytics', 'statistics']"
76 applicants,Easy Apply,"$150,000.00/yr - $200,000.00/yr",PostalAddress,US,119,291293,2018,"New York, NY",27179912,Staffing and Recruiting,New York,Arrow Search Partners,Partnership,10016,NY,51-200 employees,,,275 Madison Ave,Full-time,Staffing and Recruiting,"Research, Analyst, and Information Technology","New York, NY",18/01/2025 11:11,Mid-Senior level,Business Analyst,[]
Be among the first 25 applicants,Easy Apply,,PostalAddress,US,11,1827,,"Wilkinson Terrace, Virginia",86333130,Marketing Services,Wilkinson Terrace,The MGN Foundation,Privately Held,23235,Virginia,11-50 employees,"We educate, demonstrate, and duplicate.",,1243 Gateway Centre Pkwy,Full-time,Internet Publishing,Marketing and Sales,"Richmond, VA",18/01/2025 7:08,Entry level,Entry Level Marketing Associate,['excel']
44 applicants,External Apply,"$90,000.00/yr - $165,000.00/yr",PostalAddress,US,82977,2427409,,"New York, NY",1277,Financial Services,New York,American Express,Public Company,10285,NY,"10,001+ employees",,"Financial Services, Business Travel, Corporate Card, Network Services, and Merchants Services","World Financial Center, 200 Vesey Street",Full-time,Financial Services,Other,"New York, NY",18/01/2025 8:56,Entry level,Manager-Data Science,"['sql', 'excel', 'machine learning', 'statistics']"
Be among the first 25 applicants,External Apply,$18.00/hr - $19.00/hr,PostalAddress,US,412,1797,1954,"West Valley City, Utah",3549096,Medical Practices,West Valley City,Granger Medical Clinic,Privately Held,84120,Utah,"501-1,000 employees",Exceptional Care. One Patient at a Time.,,3725 West 4100 South,Part-time,Medical Practices,Administrative,"West Sacramento, CA",16/01/2025 0:00,Entry level,Part- Time Medical Claims Data Entry Clerk,['excel']
Over 200 applicants,Easy Apply,"$75,000.00/yr - $125,000.00/yr",PostalAddress,US,5015,1090570,,"Brentwood, Tennessee",11229,Staffing and Recruiting,Brentwood,Vaco,Privately Held,37027,Tennessee,"10,001+ employees",,"Consulting, Finance & Accounting, Technology, Operations, Supply Chain & Logistics, Executive Search, Staffing, Healthcare IT, General Administration, Human Resources, Company Culture, Managed Services, and Permanent Search",5501 Virginia Way,Full-time,Securities and Commodity Exchanges,Finance,"Memphis, TN",17/01/2025 23:23,Entry level,Data Analyst / Data Scientist (Memphis based candidates only),"['python', 'excel']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,3,5328,2006,"Washington, DC",90425499,Professional Services,Washington,Get It - Professional Services,Privately Held,20036,DC,2-10 employees,"Streamlining operations, driving growth, and delivering results.",,1201 Connecticut Ave NW,Full-time,Professional Services,Education and Training,"Williamsburg, VA",18/01/2025 14:42,Entry level,Remote Python Instructor | WFH for Data Analysis,"['python', 'excel', 'machine learning', 'data visualization', 'data analytics', 'numpy', 'pandas', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,256,5227,,"Annapolis Junction, Maryland",33520473,Defense and Space Manufacturing,Annapolis Junction,EverWatch,Privately Held,20701,Maryland,201-500 employees,,"Intelligence, Defense, and Deployed Mission Support",302 Sentinel Dr,Internship,IT Services and IT Consulting,Information Technology,"Annapolis Junction, MD",18/01/2025 20:32,Not Applicable,Computer Science Intern,"['python', 'excel', 'machine learning', 'statistics']"
62 applicants,External Apply,,PostalAddress,US,931,16723,1938,"New York, NY",298308,Government Administration,New York,NYC Department of Finance,Government Agency,10007,NY,"1,001-5,000 employees","The NYC Department of Finance administers the tax and revenue laws of the City fairly, efficiently and transparently.","Tax Auditing, Property Valuation, and Customer Services",One Centre Street,Full-time,Government Administration,Information Technology,"Manhattan, NY",18/01/2025 14:53,Internship,Data Analytics Grad Intern,"['python', 'sql', 'excel', 'power bi', 'aws', 'data analytics', 'power automate', 'database']"
36 applicants,External Apply,,PostalAddress,US,931,16723,1938,"New York, NY",298308,Government Administration,New York,NYC Department of Finance,Government Agency,10007,NY,"1,001-5,000 employees","The NYC Department of Finance administers the tax and revenue laws of the City fairly, efficiently and transparently.","Tax Auditing, Property Valuation, and Customer Services",One Centre Street,Full-time,Government Administration,Information Technology,"Manhattan, NY",18/01/2025 14:53,Internship,Data Analytics Grad Intern,"['python', 'excel', 'aws', 'data analytics']"
97 applicants,External Apply,,PostalAddress,US,3337,16773,2016,"New York, New York",11827982,Government Administration,New York,NYC Department of Social Services,Government Agency,10007,New York,"10,001+ employees",Serving New Yorkers with Care and Compassion,"social services, government administration, welfare, food assistance, Homelessness Prevention, Rental Assistance, Cash Assistance, Adult Protective Services, Child Support Services, Employment, Temporary Emergency Shelter, and shelter services",,Full-time,Government Administration,Information Technology,"Manhattan, NY",18/01/2025 14:26,Internship,Data Analytics Grad Intern,"['python', 'sql', 'excel', 'power bi', 'aws', 'data analytics', 'power automate', 'database']"
Over 200 applicants,Easy Apply,$22.00/hr - $24.00/hr,PostalAddress,US,3,511,1996,"Austin, Texas",36428070,Architecture and Planning,Austin,FAB Architecture,Self-Owned,78704,Texas,2-10 employees,,"Architecture, Design, Interior Design, and Planning",405 Cumberland Rd,Full-time,Architecture and Planning,Information Technology,United States,,Entry level,Data Analyst,"['sql', 'excel', 'power bi', 'tableau', 'machine learning', 'data visualization', 'statistics']"
Over 200 applicants,External Apply,"$47,855.00/yr - $57,384.00/yr",PostalAddress,IN,82,2136,2015,"Chennai, Tamil Nadu",6631190,Advertising Services,Chennai,Advertflair,Privately Held,600034,Tamil Nadu,51-200 employees,Your Digital Transformation Partner,"video production, Virtual reality, Metaverse, 3d modeling, 3D Animation, Video content & production, Brand identity, and Augmented/Virtual Reality","Prakash Presidium, 110, Uthamar Gandhi Rd",Full-time,Advertising Services,Administrative,United States,,Entry level,Data Entry Typist,"['excel', 'database']"
73 applicants,External Apply,,PostalAddress,US,931,16723,1938,"New York, NY",298308,Government Administration,New York,NYC Department of Finance,Government Agency,10007,NY,"1,001-5,000 employees","The NYC Department of Finance administers the tax and revenue laws of the City fairly, efficiently and transparently.","Tax Auditing, Property Valuation, and Customer Services",One Centre Street,Full-time,Government Administration,Information Technology,"Manhattan, NY",18/01/2025 14:53,Internship,Data Analytics Grad Intern,"['sql', 'excel', 'power bi', 'aws', 'data visualization', 'database']"
Over 200 applicants,Easy Apply,$25.00/hr - $32.00/hr,PostalAddress,US,4781,62168,1970,"Orlando, Florida",15085,Hospitality,Orlando,Westgate Resorts,Privately Held,32819,Florida,"5,001-10,000 employees",Make vacations your work. ,"Timeshare, Vacation Ownerships, Hospitality & Resorts, and Hotels",5601 Windhover Drive,Part-time,Hospitality,Administrative,United States,,Entry level,Data Entry Clerk,"['excel', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,156,24545,2009,"East Windsor, NJ",2514540,Software Development,East Windsor,SpectraMedix,Privately Held,8520,NJ,51-200 employees,Powering Value-Based Contract Success,"Population Health Management, Value Based Payment, Value-Based Care, Healthcare information management, Health Plans, Quality Improvement, Financial Analytics, Value-Based Contracting, Health Systems, CMS, Social Determinants of Health, Clinical Quality Improvement, and Medicaid Reform",50 Millstone Road,Full-time,IT Services and IT Consulting,Information Technology,"East Windsor, NJ",18/01/2025 2:50,Mid-Senior level,HEDIS Data Analyst,"['sql', 'tableau']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,256,5227,,"Annapolis Junction, Maryland",33520473,Defense and Space Manufacturing,Annapolis Junction,EverWatch,Privately Held,20701,Maryland,201-500 employees,,"Intelligence, Defense, and Deployed Mission Support",302 Sentinel Dr,Internship,IT Services and IT Consulting,Information Technology,"Annapolis Junction, MD",18/01/2025 20:32,Not Applicable,Computer Science Intern,"['python', 'excel', 'machine learning', 'statistics']"
95 applicants,External Apply,,PostalAddress,US,98,39275,1997,"Park Ridge, IL",1168069,Staffing and Recruiting,Park Ridge,Peterson Technology Partners,Privately Held,60068,IL,201-500 employees,"27+ years of expert consulting and recruiting success.
We guarantee innovative solutions and exceptional results.","Information Technology, Network Security, Staffing, UX/UI Developers, Java Developers, Hiring, Recruiting, Technology, Scrum, .NET, Full Stack Developer, Information Security, Developers, Data Science, UX/UI, Cybersecurity, Machine Learning, Python Programmers, IT Staffing, IT Recruiting, IT Jobs, IT Consulting, IT Recruiters, UI UX, and Cloud",1030 W. Higgins Road,Full-time,Staffing and Recruiting,Information Technology,"Rosemont, IL",18/01/2025 1:02,Mid-Senior level,Data Analyst,"['sql', 'excel', 'power bi', 'tableau', 'machine learning', 'aws', 'azure', 'data visualization', 'statistics', 'snowflake', 'mysql', 'sql server', 'postgres', 'database']"
50 applicants,External Apply,,PostalAddress,US,131,18211,2010,"Fremont, California",66321745,IT Services and IT Consulting,Fremont,SynergisticIT,Privately Held,94539,California,201-500 employees,The Best Programmers in the Bay Area.....Period!,"Software Development, IT Recruitment, and IT Upskill",Civic Center Dr,Contract,IT Services and IT Consulting,Information Technology,"Atlanta, GA",18/01/2025 8:25,Entry level,Python Programmer (Entry Level),"['python', 'excel', 'powerbi', 'tableau', 'machine learning', 'data visualization', 'statistics', 'nlp', 'database']"
118 applicants,External Apply,,PostalAddress,US,3947,31671,1849,"Fort Worth, Texas",8731,Government Administration,Fort Worth,City of Fort Worth,Government Agency,76102,Texas,"5,001-10,000 employees","Working together to build a strong community. #publicsafety, #citygrowth #infrastructure",,100 Fort Worth Trail,Full-time,Government Administration,Engineering and Information Technology,"Fort Worth, TX",18/01/2025 2:39,Internship,Intern - Data Science,"['python', 'machine learning', 'data analytics', 'statistics']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,3,5328,2006,"Washington, DC",90425499,Professional Services,Washington,Get It - Professional Services,Privately Held,20036,DC,2-10 employees,"Streamlining operations, driving growth, and delivering results.",,1201 Connecticut Ave NW,Full-time,Professional Services,Information Technology,"Pompano Beach, FL",18/01/2025 14:41,Entry level,Remote Data Processing Technician | WFH,"['excel', 'database']"
54 applicants,External Apply,"$73,632.00/yr - $85,176.00/yr",PostalAddress,US,1570,11806,2001,"Las Vegas, NV",20805,Defense and Space Manufacturing,Las Vegas,JT4,Privately Held,89119,NV,"1,001-5,000 employees",Department of Defense contractor providing engineering and technical support to the U.S. Air Force and U.S. Navy,"Engineering, Electronics Technicians, Technical Services, Operational Testing and Evaluation, Mission Support, System Engineering, Mechanical Engineering, Ops Test Analyst, Instrumentation Field Engineer, Radar Engineer, Computer Scientist, and ABET",821 Grier Drive,Contract,Defense and Space Manufacturing,Information Technology,"Edwards, CA",18/01/2025 1:52,Entry level,Data Analyst I,[]
Be among the first 25 applicants,External Apply,,PostalAddress,US,1803,41632,,"Yardley, Pennsylvania",96490188,Hospitals and Health Care,Yardley,Inizio Engage,Privately Held,19067,Pennsylvania,"5,001-10,000 employees",Inizio Engage (formerly Ashfield Engage) is a strategic global healthcare partner with local expertise.,,800 Township Line Rd,Full-time,Hospitals and Health Care,Health Care Provider,"New York, United States",18/01/2025 15:15,Mid-Senior level,Clinical Educator,"['excel', 'aws']"
Be among the first 25 applicants,Easy Apply,,PostalAddress,US,304,2203,1969,"Boston, MA",56304,Medical Practices,Boston,Ophthalmic Consultants of Boston,Partnership,2114,MA,201-500 employees,Excellence in Eye Care,,50 Staniford St,Full-time,Internet Publishing,Management and Manufacturing,"Waltham, MA",18/01/2025 6:51,Executive,Vice President of Operations,['excel']
81 applicants,Easy Apply,,PostalAddress,US,17,3302,2011,"Washington DC, New York",770704,Investment Management,Washington DC,Riveria Group,Privately Held,10016 and 20004,New York ,11-50 employees,,,New York,Full-time,Investment Management,,"New York, NY",18/01/2025 22:42,Entry level,Private Equity Business Development Analyst,"['excel', 'database']"
66 applicants,External Apply,,,,95,3151,,,42355938,"Transportation, Logistics, Supply Chain and Storage",,HomeSafe Alliance,Privately Held,,,201-500 employees,Moving Forward Together,,,Full-time,"Transportation, Logistics, Supply Chain and Storage",Information Technology,United States,,Mid-Senior level,Data Engineer,"['python', 'sql', 'excel', 'power bi', 'aws', 'azure', 'gcp', 'data visualization', 'snowflake', 'sql server', 'dax', 'database']"
30 applicants,External Apply,,PostalAddress,US,133125,927869,1979,"Atlanta, Georgia",1534,Retail,Atlanta,The Home Depot,Public Company,30339,Georgia,"10,001+ employees",careers.homedepot.com,"retail, home improvement, and customer service",2455 Paces Ferry Road,Full-time,Consumer Services,Information Technology,"Atlanta, GA",18/01/2025 8:59,Not Applicable,Data Scientist - Orange Apron Media,"['python', 'sql', 'excel', 'tableau', 'machine learning', 'data visualization', 'data analytics', 'statistics', 'nlp']"
27 applicants,External Apply,,PostalAddress,US,32,2596,,"Chicago, Illinois",69043392,Hospitals and Health Care,Chicago,Cardiosense,Privately Held,60607,Illinois,11-50 employees,Leveraging high-fidelity physiological waveforms to unlock AI-Driven insights in cardiac function.  ,,1375 W Fulton St,Full-time,Hospitals and Health Care,Engineering and Information Technology,"Chicago, IL",18/01/2025 2:21,Not Applicable,Senior Data Scientist,"['python', 'excel', 'machine learning', 'aws', 'azure', 'gcp', 'hadoop', 'spark', 'statistics', 'big data']"
46 applicants,External Apply,,PostalAddress,US,133125,927869,1979,"Atlanta, Georgia",1534,Retail,Atlanta,The Home Depot,Public Company,30339,Georgia,"10,001+ employees",careers.homedepot.com,"retail, home improvement, and customer service",2455 Paces Ferry Road,Full-time,Consumer Services,Information Technology,"Atlanta, GA",18/01/2025 8:59,Not Applicable,"Product Manager, Data & Analytics",[]
Be among the first 25 applicants,External Apply,"$56,280.00/yr - $80,400.00/yr",PostalAddress,US,5600,61310,1941,"Davidson, North Carolina",24034,Wholesale,Davidson,MSC Industrial Supply Co.,Public Company,28036,North Carolina,"5,001-10,000 employees",MSC Industrial Supply is the source for your metalworking and MRO needs. Built to Make You Better. ,"Distribution, Maintenance, Repair & Operations (MRO) Solutions, Metalworking Solutions & Expertise, ControlPoint Inventory Management Technology Solutions, Supply Chain Expertise & Services, Facility Management, Inventory Management Services, and Manufacturing",525 Harbour Place Dr,Full-time,Wholesale,Management and Manufacturing,"Davidson, NC",17/01/2025 23:54,Not Applicable,Data Logistics Analyst,"['excel', 'tableau', 'data analytics']"
36 applicants,External Apply,,PostalAddress,US,131,18211,2010,"Fremont, California",66321745,IT Services and IT Consulting,Fremont,SynergisticIT,Privately Held,94539,California,201-500 employees,The Best Programmers in the Bay Area.....Period!,"Software Development, IT Recruitment, and IT Upskill",Civic Center Dr,Contract,IT Services and IT Consulting,Information Technology,"Rochester, NY",18/01/2025 8:25,Entry level,Remote Software Developer (Entry Level),"['python', 'excel', 'tableau', 'machine learning', 'data visualization', 'statistics', 'nlp']"
28 applicants,External Apply,,PostalAddress,US,131,18211,2010,"Fremont, California",66321745,IT Services and IT Consulting,Fremont,SynergisticIT,Privately Held,94539,California,201-500 employees,The Best Programmers in the Bay Area.....Period!,"Software Development, IT Recruitment, and IT Upskill",Civic Center Dr,Contract,IT Services and IT Consulting,Engineering,"Charlotte, NC",18/01/2025 8:25,Entry level,Junior ML Engineer,"['python', 'excel', 'machine learning', 'data visualization', 'statistics', 'database']"
Be among the first 25 applicants,External Apply,"$68,000.00/yr - $119,000.00/yr",,,14,113,,,96644436,Financial Services,,Logistics Management Institute,Public Company,,,2-10 employees,,,,Full-time,Financial Services,Information Technology,"Washington, DC",18/01/2025 4:55,Internship,DoD Junior Energy Data Analyst,[]
Be among the first 25 applicants,External Apply,,PostalAddress,US,31,3537,,"New York City, New York",92972565,"Technology, Information and Media",New York City,GPTZero,Privately Held,,New York,11-50 employees,Building the safeguards for responsible AI adoption in education and our world.,"ML/AI, LLM, and ai detection",,Full-time,"Technology, Information and Media",Engineering and Information Technology,"New York, NY",17/01/2025 23:56,Mid-Senior level,Senior Data Scientist,"['python', 'sql', 'machine learning', 'aws', 'spark', 'numpy', 'pandas', 'nlp', 'brick']"
Be among the first 25 applicants,External Apply,$24.04/hr - $30.54/hr,PostalAddress,US,39109,262785,1993,"Newport Beach, California",163025,Restaurants,Newport Beach,Chipotle Mexican Grill,Public Company,92660,California,"10,001+ employees",Real Food. Real People. Real Opportunities.,"Burritos, bowls, and tacos and salads.",610 Newport Center Dr,Full-time,Restaurants,Quality Assurance,"Columbus, OH",18/01/2025 21:47,Not Applicable,Quality Engineer - Internship,"['sql', 'aws', 'snowflake', 'sql server', 'database']"
Be among the first 25 applicants,Easy Apply,"$60,000.00/yr - $70,000.00/yr",PostalAddress,US,119,291293,2018,"New York, NY",27179912,Staffing and Recruiting,New York,Arrow Search Partners,Partnership,10016,NY,51-200 employees,,,275 Madison Ave,Full-time,Staffing and Recruiting,Quality Assurance,"Charlotte, NC",18/01/2025 23:11,Entry level,Quality Assurance Data Analyst,"['sql', 'data analytics', 'statistics']"
106 applicants,Easy Apply,$50.00/hr - $55.00/hr,PostalAddress,US,81,80113,1995,"Chesterfield, MO",27494,Staffing and Recruiting,Chesterfield,neteffects,Privately Held,63017,MO,201-500 employees,We make good matches.,"Staffing, Contract consulting, Direct hire, Executive search, People capital consulting, Workforce solutions, Managed service provider, Payrolling, Managed teams, Agile java development, IT Staffing, IT Careers, IT Jobs, IT Recruiting, and Talent Solutions","500 Chesterfield Center, Suite 350",Contract,"Technology, Information and Media",Information Technology,"Creve Coeur, MO",18/01/2025 14:24,Mid-Senior level,SQL Data and Reporting Analyst,"['sql', 'tableau', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,2855,4160,,"Tupelo, Mississippi",24784307,Hospitals and Health Care,Tupelo,North Mississippi Health Services,Nonprofit,38801,Mississippi,"5,001-10,000 employees","When you are part of our team, you know what connected feels like. #WhatConnectsYou ","Gastroenterology, Emergency Medicine, Cardiology, Surgery, Internal Medicine, Family Medicine, Pathology, Radiology, Hematology & Oncology, Neurology, Neurosurgery, Infectious disease, Bariatric, Geriatric Medicine, Cardiothoracic Surgery, Obstetrics & Gynecology, Pediatrics, Pulmonary, Sports Medicine, Psychiatry, Physiatry, and Tele Medicine",830 South Gloster Street,Full-time,Hospitals and Health Care,Management and Manufacturing,"Tupelo, MS",18/01/2025 15:15,Mid-Senior level,Supply Chain Data Analyst,"['excel', 'aws', 'database']"
Be among the first 25 applicants,Easy Apply,,PostalAddress,US,52,3924,2018,"Saint Charles, Missouri",27203166,IT Services and IT Consulting,Saint Charles,Curate,Privately Held,63122,Missouri,11-50 employees,"We empower catering and floral organizations with consistency across every event, every store, and every event folder.","Software, Website Development, Event Management, and Application Development",,Full-time,Internet Publishing,Sales and Business Development,"St Louis, MO",18/01/2025 7:09,Entry level,Sales Development Representative,[]
Be among the first 25 applicants,External Apply,,PostalAddress,US,110,4461,,"Washington, District of Columbia",6151908,Human Resources Services,Washington,DC Department of Human Resources,Government Agency,20003,District of Columbia,51-200 employees,We provide human resource management services that strengthen individual and organizational performance.,,1015 Half St SE,Full-time,Human Resources Services,Information Technology,"Washington, DC",18/01/2025 2:46,Entry level,Policy and Data Analyst,['data visualization']
Be among the first 25 applicants,External Apply,,PostalAddress,US,4626,22390,1925,"Sarasota, Florida",16800,Hospitals and Health Care,Sarasota,Sarasota Memorial Health Care System,Nonprofit,34239,Florida,"5,001-10,000 employees",Proudly caring for Sarasota County's healthcare needs since 1925.,,1700 S Tamiami Trail,Full-time,Hospitals and Health Care,Information Technology,"Sarasota, FL",18/01/2025 1:21,Entry level,Research Data Specialist,"['excel', 'database']"
Be among the first 25 applicants,External Apply,"$118,000.00/yr - $185,000.00/yr",PostalAddress,US,18117,101688,,"Los Angeles, California",407141,Outsourcing and Offshoring Consulting,Los Angeles,VXI Global Solutions,Privately Held,90071,California,"10,001+ employees",,"Operations Management, Customer Interaction Services, Digital, OmniChannel Support, CX Consulting, Customer Experience Management, NPS Management, BPO, ITO, Product Development, Embedded Solutions, Outsourcing, Offshoring, Customer Care, CX, Customer Experience, Call Center, and Agents",515 S Figueroa St,Full-time,Outsourcing and Offshoring Consulting,Product Management and Marketing,"San Francisco, CA",18/01/2025 4:45,Mid-Senior level,"Product Manager, Data Platform",['aws']
